,Date,User,Tweet
61,2022-09-08 11:35:57+00:00,ZARA,"Narciso Rodriguez x Zara
In an exclusive collection For Zara, minimalist designer Narciso Rodriguez re-explores some of his most iconic pieces #narcisorodriguezxzara
https://t.co/GnGi01nqUT https://t.co/yR9aCBSn7j"
62,2022-09-07 17:00:07+00:00,ZARA,Oversized trench with pockets https://t.co/ZxlW5Go4i0 https://t.co/19m7WMtpLw
63,2022-09-07 15:00:14+00:00,ZARA,Discover our new in this week https://t.co/u3d9zrVNfE https://t.co/9iGGes0Tfh
64,2022-09-07 12:13:30+00:00,ZARA,Soft belted overshirt https://t.co/AI4rz0Myeo https://t.co/lplM00zMDN
65,2022-09-02 13:00:01+00:00,ZARA,Our tinted moisturizing cream provides light coverage and delivers moisture with a subtle tint #zarabeauty https://t.co/IY3qyUoQFb https://t.co/Xg1voDbVqk
66,2022-09-02 00:00:00+00:00,ZARA,"The hydro glow tinted moisturizer provides light coverage and delivers moisture with a subtle tint. Its ultralight creamy texture melts into the skin, evening skin tone and concealing imperfections, achieving a natural and luminous finish https://t.co/IY3qyU7fgB https://t.co/bgxvydUjsD"
67,2022-09-01 17:44:15+00:00,ZARA,Have you tried our hydro glow tinted moisturizer? https://t.co/IY3qyUoQFb https://t.co/SV4VdvMqJD
68,2022-08-27 16:00:11+00:00,ZARA,New man collection https://t.co/2Rbl5rozZl https://t.co/eZrbLSCh7e
69,2022-08-27 08:02:07+00:00,ZARA,New man collection https://t.co/2Rbl5rozZl https://t.co/SqjkgPBGKr
70,2022-08-26 16:00:19+00:00,ZARA,New woman collection https://t.co/JTroYDuDkx https://t.co/x0BtQZWJ8y
71,2022-08-26 08:07:04+00:00,ZARA,New woman collection https://t.co/JTroYDMMyF https://t.co/qQRxfsuwtD
72,2022-08-11 17:00:10+00:00,ZARA,"Collection 02_The Dress presents six dresses with their own identity in that each one dominates a style and singular pattern. Embellishments, embroidery, and fabrics are the stars of these pieces replete with curated details. https://t.co/eVtplPk79U https://t.co/JrpY55lomx"
73,2022-08-11 13:00:07+00:00,ZARA,"The ZARA ATELIER line was born in 2021 with the objective of reinterpreting the staples of the feminine wardrobe in an artistic, different and sophisticated way through high scale design and exquisite craftsmanship. https://t.co/eVtplPk79U https://t.co/ibkuL1Ubcj"
74,2022-08-11 08:00:10+00:00,ZARA,The collection 02 from the ZARA ATELIER line is now a reality. If the first capsule focused on the exterior garment par excellence - the coat - the design team at Zara is now putting another iconic piece on the line: the dress. https://t.co/eVtplPk79U https://t.co/i8rwcAh7Sv
75,2022-08-04 17:00:43+00:00,ZARA,"The collaboration with Renewcell is part of our Sustainability Innovation Hub, a platform for testing and promoting start-up initiatives to develop new technologies, materials and processes to limit the environmental impact of our products.  https://t.co/Tyb4FkDYul https://t.co/aUszeC5zgf"
76,2022-08-04 11:42:29+00:00,ZARA,"RENEWCELL X ZARA
This technology dissolves cotton cellulose from textile waste and transforms it into a new material called CIRCULOSE®. By reusing an existing resource, it helps us move towards circularity.
#INNOVATION #JOINLIFE https://t.co/Tyb4FkDYul https://t.co/ptJ8ebnw7Z"
77,2022-07-25 17:00:16+00:00,ZARA,The STUDIO collection with Evan Mock https://t.co/EMXbyUzxar https://t.co/5L8hN1NL4j
78,2022-07-25 13:00:11+00:00,ZARA,The STUDIO collection with Evan Mock https://t.co/EMXbyUzxar https://t.co/oaJ7MdNxTv
79,2022-07-24 17:00:10+00:00,ZARA,Denim corset top  https://t.co/u3d9zrVfq6 https://t.co/McD1GdjsY4
80,2022-07-24 13:00:09+00:00,ZARA,Feather corset top  https://t.co/u3d9zrVfq6 https://t.co/9WCQE5puGd
81,2022-07-24 08:00:08+00:00,ZARA,Premium quality t-shirt  https://t.co/u3d9zrVfq6 https://t.co/kp1oLqAeiw
82,2022-07-22 17:00:22+00:00,ZARA,"Surreal Summer. Beauty collection
Photographs by Elizaveta Porodina
Make up by Diane Kendal 
Still life photographs by Florian Joye 
#zarabeauty https://t.co/edRTwsm29t https://t.co/095WZMGpep"
83,2022-07-22 13:00:18+00:00,ZARA,"Surreal Summer. Beauty collection
Photographs by Elizaveta Porodina
Make up by Diane Kendal 
Still life photographs by Florian Joye 
#zarabeauty https://t.co/edRTwslujV https://t.co/0AXk4HOWJK"
84,2022-07-22 08:28:19+00:00,ZARA,"Surreal Summer. Beauty collection
Photographs by Elizaveta Porodina 
Make up by Diane Kendal
#zarabeauty https://t.co/edRTwslujV https://t.co/JOmSioTnWM"
85,2022-07-16 17:00:30+00:00,ZARA,ZARA MAN presents: DRY. Retro streetwear. Starring Dylan Saje McKay https://t.co/r8TcKGZVRA https://t.co/cD38rYd197
86,2022-07-16 13:00:40+00:00,ZARA,ZARA MAN presents: DRY. Classic workwear. Starring Geron McGinley https://t.co/r8TcKGZVRA https://t.co/hwd0bTDF71
